ROW_JSON
"{""TIMESTAMP"": ""2025-10-27 00:00:00"", ""FORECAST_CONDITION"": ""Storm"", ""WIND_SPEED_KPH"": 71.02096113738612, ""WAVE_HEIGHT_M"": 3.255741870056726, ""TEMPERATURE_C"": 29.7150002775674, ""WEATHER_RISK_INDEX"": 0.3229251750935163}"
"{""TIMESTAMP"": ""2025-10-27 01:00:00"", ""FORECAST_CONDITION"": ""Storm"", ""WIND_SPEED_KPH"": 73.20173084464396, ""WAVE_HEIGHT_M"": 3.499511941352592, ""TEMPERATURE_C"": 29.655315493719165, ""WEATHER_RISK_INDEX"": 0.6930070515137176}"
"{""TIMESTAMP"": ""2025-10-27 02:00:00"", ""FORECAST_CONDITION"": ""Fog"", ""WIND_SPEED_KPH"": 46.16237406763563, ""WAVE_HEIGHT_M"": 4.6385719792198685, ""TEMPERATURE_C"": 29.27106524848245, ""WEATHER_RISK_INDEX"": 0.3090922247595024}"
"{""TIMESTAMP"": ""2025-10-27 03:00:00"", ""FORECAST_CONDITION"": ""Storm"", ""WIND_SPEED_KPH"": 31.475880199904697, ""WAVE_HEIGHT_M"": 3.575085751110476, ""TEMPERATURE_C"": 28.96605076046493, ""WEATHER_RISK_INDEX"": 0.4672426262325889}"
"{""TIMESTAMP"": ""2025-10-27 04:00:00"", ""FORECAST_CONDITION"": ""Fog"", ""WIND_SPEED_KPH"": 80.63035958652554, ""WAVE_HEIGHT_M"": 3.1038672353211267, ""TEMPERATURE_C"": 31.63639610131449, ""WEATHER_RISK_INDEX"": 0.4213483374390095}"
"{""TIMESTAMP"": ""2025-10-27 05:00:00"", ""FORECAST_CONDITION"": ""Storm"", ""WIND_SPEED_KPH"": 46.97894883543127, ""WAVE_HEIGHT_M"": 3.0929744753852484, ""TEMPERATURE_C"": 29.726782535581457, ""WEATHER_RISK_INDEX"": 0.4378659701939881}"
"{""TIMESTAMP"": ""2025-10-27 06:00:00"", ""FORECAST_CONDITION"": ""Sunny"", ""WIND_SPEED_KPH"": 40.46074620904169, ""WAVE_HEIGHT_M"": 3.645541900295575, ""TEMPERATURE_C"": 29.43260655907228, ""WEATHER_RISK_INDEX"": 0.4997152823803601}"
"{""TIMESTAMP"": ""2025-10-27 07:00:00"", ""FORECAST_CONDITION"": ""Sunny"", ""WIND_SPEED_KPH"": 72.91478264247151, ""WAVE_HEIGHT_M"": 4.160210687514675, ""TEMPERATURE_C"": 29.33253818959121, ""WEATHER_RISK_INDEX"": 0.46946600269974}"
"{""TIMESTAMP"": ""2025-10-27 08:00:00"", ""FORECAST_CONDITION"": ""Rain"", ""WIND_SPEED_KPH"": 40.15302941792108, ""WAVE_HEIGHT_M"": 3.3515405015891977, ""TEMPERATURE_C"": 29.60519557576253, ""WEATHER_RISK_INDEX"": 0.4790152581052559}"
"{""TIMESTAMP"": ""2025-10-27 09:00:00"", ""FORECAST_CONDITION"": ""Fog"", ""WIND_SPEED_KPH"": 61.59477073472459, ""WAVE_HEIGHT_M"": 4.178537812911007, ""TEMPERATURE_C"": 28.515940247761307, ""WEATHER_RISK_INDEX"": 0.4239415812123995}"
"{""TIMESTAMP"": ""2025-10-27 10:00:00"", ""FORECAST_CONDITION"": ""Rain"", ""WIND_SPEED_KPH"": 43.4679007396856, ""WAVE_HEIGHT_M"": 4.46845981213782, ""TEMPERATURE_C"": 30.21943650199309, ""WEATHER_RISK_INDEX"": 0.7319876488343118}"
"{""TIMESTAMP"": ""2025-10-27 11:00:00"", ""FORECAST_CONDITION"": ""Rain"", ""WIND_SPEED_KPH"": 47.93049185156984, ""WAVE_HEIGHT_M"": 1.6397534105222975, ""TEMPERATURE_C"": 30.810975993361808, ""WEATHER_RISK_INDEX"": 0.4859146963326932}"
"{""TIMESTAMP"": ""2025-10-27 12:00:00"", ""FORECAST_CONDITION"": ""Fog"", ""WIND_SPEED_KPH"": 69.4127125876799, ""WAVE_HEIGHT_M"": 4.996644927603671, ""TEMPERATURE_C"": 30.002199814756032, ""WEATHER_RISK_INDEX"": 0.4381318994430755}"
"{""TIMESTAMP"": ""2025-10-27 13:00:00"", ""FORECAST_CONDITION"": ""Fog"", ""WIND_SPEED_KPH"": 36.66519424735945, ""WAVE_HEIGHT_M"": 3.0683083378190723, ""TEMPERATURE_C"": 29.23709676059252, ""WEATHER_RISK_INDEX"": 0.5973134536386177}"
"{""TIMESTAMP"": ""2025-10-27 14:00:00"", ""FORECAST_CONDITION"": ""Fog"", ""WIND_SPEED_KPH"": 62.40755212138314, ""WAVE_HEIGHT_M"": 3.9524036660883786, ""TEMPERATURE_C"": 29.84040930940903, ""WEATHER_RISK_INDEX"": 0.5879284474734552}"
"{""TIMESTAMP"": ""2025-10-27 15:00:00"", ""FORECAST_CONDITION"": ""Storm"", ""WIND_SPEED_KPH"": 61.09611345400189, ""WAVE_HEIGHT_M"": 3.5923793799908394, ""TEMPERATURE_C"": 30.505729854628814, ""WEATHER_RISK_INDEX"": 0.4947684834698241}"
"{""TIMESTAMP"": ""2025-10-27 16:00:00"", ""FORECAST_CONDITION"": ""Rain"", ""WIND_SPEED_KPH"": 42.22502441923803, ""WAVE_HEIGHT_M"": 2.5774613897669694, ""TEMPERATURE_C"": 29.05313552670756, ""WEATHER_RISK_INDEX"": 0.5722699759014961}"
"{""TIMESTAMP"": ""2025-10-27 17:00:00"", ""FORECAST_CONDITION"": ""Storm"", ""WIND_SPEED_KPH"": 57.65394749108485, ""WAVE_HEIGHT_M"": 3.559195855321626, ""TEMPERATURE_C"": 30.96157727676717, ""WEATHER_RISK_INDEX"": 0.3144542275279643}"
"{""TIMESTAMP"": ""2025-10-27 18:00:00"", ""FORECAST_CONDITION"": ""Sunny"", ""WIND_SPEED_KPH"": 58.1925690195255, ""WAVE_HEIGHT_M"": 2.5735501640828597, ""TEMPERATURE_C"": 30.98737874029235, ""WEATHER_RISK_INDEX"": 0.6043487293732911}"
"{""TIMESTAMP"": ""2025-10-27 19:00:00"", ""FORECAST_CONDITION"": ""Rain"", ""WIND_SPEED_KPH"": 47.40759147526276, ""WAVE_HEIGHT_M"": 3.278673522671262, ""TEMPERATURE_C"": 28.99376393171223, ""WEATHER_RISK_INDEX"": 0.5215345706387391}"
"{""TIMESTAMP"": ""2025-10-27 20:00:00"", ""FORECAST_CONDITION"": ""Storm"", ""WIND_SPEED_KPH"": 54.61898486106138, ""WAVE_HEIGHT_M"": 3.1732322213272397, ""TEMPERATURE_C"": 30.55477071544103, ""WEATHER_RISK_INDEX"": 0.4985164579053817}"
"{""TIMESTAMP"": ""2025-10-27 21:00:00"", ""FORECAST_CONDITION"": ""Fog"", ""WIND_SPEED_KPH"": 60.29185031699201, ""WAVE_HEIGHT_M"": 2.3949578433715883, ""TEMPERATURE_C"": 32.1560293495503, ""WEATHER_RISK_INDEX"": 0.5636892940341174}"
"{""TIMESTAMP"": ""2025-10-27 22:00:00"", ""FORECAST_CONDITION"": ""Storm"", ""WIND_SPEED_KPH"": 71.73453825235482, ""WAVE_HEIGHT_M"": 1.671196953068226, ""TEMPERATURE_C"": 27.32895566809044, ""WEATHER_RISK_INDEX"": 0.4505562932172008}"
"{""TIMESTAMP"": ""2025-10-27 23:00:00"", ""FORECAST_CONDITION"": ""Sunny"", ""WIND_SPEED_KPH"": 60.81409821176855, ""WAVE_HEIGHT_M"": 2.747781787261882, ""TEMPERATURE_C"": 30.19015882317307, ""WEATHER_RISK_INDEX"": 0.3601439916773039}"
"{""TIMESTAMP"": ""2025-10-28 00:00:00"", ""FORECAST_CONDITION"": ""Storm"", ""WIND_SPEED_KPH"": 57.52644129964392, ""WAVE_HEIGHT_M"": 3.7677345064475873, ""TEMPERATURE_C"": 28.34085151923538, ""WEATHER_RISK_INDEX"": 0.4307491045112985}"
"{""TIMESTAMP"": ""2025-10-28 01:00:00"", ""FORECAST_CONDITION"": ""Rain"", ""WIND_SPEED_KPH"": 59.26465217781725, ""WAVE_HEIGHT_M"": 4.0624891922747794, ""TEMPERATURE_C"": 30.5084761564348, ""WEATHER_RISK_INDEX"": 0.1589498744991564}"
"{""TIMESTAMP"": ""2025-10-28 02:00:00"", ""FORECAST_CONDITION"": ""Storm"", ""WIND_SPEED_KPH"": 44.88497788613266, ""WAVE_HEIGHT_M"": 2.232751765922215, ""TEMPERATURE_C"": 29.96658942093935, ""WEATHER_RISK_INDEX"": 0.705104405468346}"
"{""TIMESTAMP"": ""2025-10-28 03:00:00"", ""FORECAST_CONDITION"": ""Rain"", ""WIND_SPEED_KPH"": 53.24725680453171, ""WAVE_HEIGHT_M"": 2.6946767889125414, ""TEMPERATURE_C"": 27.82991634516616, ""WEATHER_RISK_INDEX"": 0.4635583863610911}"
"{""TIMESTAMP"": ""2025-10-28 04:00:00"", ""FORECAST_CONDITION"": ""Sunny"", ""WIND_SPEED_KPH"": 67.35645760733952, ""WAVE_HEIGHT_M"": 3.1186733901396613, ""TEMPERATURE_C"": 30.19133341088244, ""WEATHER_RISK_INDEX"": 0.1990357747261232}"
